mag_1,mag_2,mag_3,mag_4,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,avg_mag,max_mag,min_mag,range_mag,std_mag,left_right_diff,top_bottom_diff,diag1_diff,diag2_diff,strongest_sensor,rssi,label
5188.386358011516,3605.197081991496,3383.513853968977,1959.7165611383705,4357,-620,2748,1325,-2986,1525,-2045,-2571,810,-1528,-656,1037,3534.20346377759,5188.386358011516,1959.7165611383705,3228.6697968731455,1144.8883686292245,1503.4932844253135,1725.1765124478325,3228.6697968731455,221.68322802251944,1,-75,keys
626.4319595933783,2503.003196162562,2827.461405572143,936.2099123594024,-298,482,-267,1345,-1896,928,337,-2315,1588,-460,-308,755,1723.2766184218715,2827.461405572143,626.4319595933783,2201.0294459787647,955.214607509998,7.340128321778593,-317.1180810878027,-309.7779527660241,-324.4582094095813,3,-59,empty
1394.0839286068826,2005.018952528878,16948.79160884339,3458.827547016474,-1281,530,-147,956,-1026,1433,-1272,-5848,15857,2220,648,-2572,5951.680509248906,16948.79160884339,1394.0839286068826,15554.707680236506,6393.3284066929255,6439.51451895246,-8504.25813736205,-2064.7436184095914,-14943.77265631451,3,-64,scissors
985.271536176703,2812.994489863071,3072.0999332704005,1404.2948408364962,-906,232,310,2020,-1693,983,1578,-2425,1033,-862,-410,1030,2068.6652000366676,3072.0999332704005,985.271536176703,2086.8283970936973,891.071989323676,-79.9589306262319,-339.0643740335613,-419.0233046597932,-259.1054434073294,3,-59,Knife
996.0040160561604,2814.266689565862,3064.13527769255,1383.843199210084,-926,222,292,2022,-1707,958,1578,-2420,1021,-847,-378,1027,2064.562295631164,3064.13527769255,996.0040160561604,2068.13126163639,889.7187912246079,-68.98529751361798,-318.8538856403054,-387.8391831539236,-249.86858812668743,3,-60,Knife
613.2829689466356,2502.6835597014656,2855.308039424118,943.6874482581612,-296,470,-260,1350,-1893,926,332,-2336,1608,-465,-311,760,1728.7405040825952,2855.308039424118,613.2829689466356,2242.025070477482,965.4915947558812,11.110000205563438,-341.51447951708906,-330.40447931152573,-352.62447972265227,3,-59,empty
10174.04585206888,3515.954066821693,5071.299044623576,1835.3062414757928,2628,2365,9540,1182,-3203,840,-120,-2775,4243,-1643,-170,800,5149.151301247485,10174.04585206888,1835.3062414757928,8338.739610593087,3118.674738869273,4947.042294197486,3391.6973163956022,8338.739610593087,-1555.3449778018835,1,-58,screwdriver
15018.94137414485,1322.9349946236966,16635.067628356668,3374.5669351784977,5148,-12370,-6786,-517,-692,1002,-1145,-12841,-10513,2982,-857,-1327,9087.877733075928,16635.067628356668,1322.9349946236966,15312.132633732972,6802.092458108955,13478.25353634966,-1833.8790973833093,11644.374438966352,-15312.132633732972,3,-74,magnet
4125.792287549144,2891.818804835462,4623.564425851553,1848.6546459520232,53,692,4067,1118,-1556,2166,288,-2248,4030,-1546,808,-612,3372.4575410470457,4623.564425851553,1848.6546459520232,2774.90977989953,1082.3320349296307,2004.4416313066056,272.696010290515,2277.137641597121,-1731.7456210160913,3,-46,keys
3286.7669524929815,2870.5011757531124,4374.603410596211,1376.6909602376272,-713,1032,3038,933,-1742,2082,901,-2127,3715,-970,723,-657,2977.140624769983,4374.603410596211,1376.6909602376272,2997.9124503585836,1074.893227415726,1707.0891135492266,202.9868787061282,1910.0759922553543,-1504.1022348430984,3,-47,keys
12250.554354803704,1846.818345154715,8988.633767152825,3009.733210768024,747,-9472,-7733,-665,-993,1408,-2232,-6772,-5473,2773,-991,-622,6523.934919469817,12250.554354803704,1846.818345154715,10403.736009648988,4274.749807476731,8191.318283016895,1049.5028610187846,9240.82114403568,-7141.815421998111,1,-73,magnet
628.5117341784479,2512.009156034269,2830.580505832682,955.504578743608,-303,487,-257,1345,-1901,942,356,-2307,1601,-482,-291,772,1731.6514936972517,2830.580505832682,628.5117341784479,2202.068771654234,953.4050054284784,-4.2107473833737,-322.7820971817864,-326.9928445651602,-318.57134979841294,3,-58,empty
